Title,Year,Rating,Runtime,Critic.Score,Box.Office,Awards,International
A Knight's Tale,2001,PG-13,132,58,55,TRUE,FALSE
Shrek,2001,PG,90,88,267,TRUE,FALSE
Pearl Harbor,2001,PG-13,183,25,197.8,TRUE,FALSE
Moulin Rouge!,2001,PG-13,127,76,55.1,TRUE,TRUE
The Animal,2001,PG-13,84,30,54.4,FALSE,FALSE
What's the Worst That Could Happen?,2001,PG-13,94,10,31.1,FALSE,FALSE
Startup.com,2001,R,107,92,0.5,TRUE,FALSE
Evolution,2001,PG-13,101,43,37.6,FALSE,FALSE
Swordfish,2001,R,99,26,68.8,TRUE,TRUE
Atlantis: The Lost Empire,2001,PG,95,49,83.6,TRUE,FALSE
Lara Croft: Tomb Raider,2001,PG-13,100,19,129.5,TRUE,TRUE
Dr. Dolittle 2,2001,PG,87,42,111.5,TRUE,FALSE
The Fast and the Furious,2001,PG-13,106,53,142.5,TRUE,TRUE
Baby Boy,2001,R,130,71,27.8,TRUE,FALSE
Pootie Tang,2001,PG-13,81,29,2.8,FALSE,FALSE
The Anniversary Party,2001,R,115,60,3,TRUE,FALSE
Crazy/Beautiful,2001,PG-13,99,63,16.2,FALSE,FALSE
A.I. Artificial Intelligence,2001,PG-13,146,73,77.6,TRUE,FALSE
Cats & Dogs,2001,PG,87,54,90.9,TRUE,TRUE
Kiss of the Dragon,2001,R,98,51,34.7,FALSE,TRUE
Final Fantasy: The Spirits Within,2001,PG-13,106,44,31.5,TRUE,TRUE
The Score,2001,R,124,73,70.3,TRUE,TRUE
Jurassic Park III,2001,PG-13,92,50,180.1,TRUE,FALSE
America's Sweethearts,2001,PG-13,102,31,93,TRUE,FALSE
Planet of the Apes,2001,PG-13,119,45,178.1,TRUE,FALSE
The Princess Diaries,2001,G,115,47,107.8,TRUE,FALSE
Original Sin,2001,R,116,12,15.1,FALSE,TRUE
Rush Hour 2,2001,PG-13,90,52,226,TRUE,TRUE
The Others,2001,PG-13,104,83,96.1,TRUE,TRUE
American Pie 2,2001,R,108,52,144,TRUE,FALSE
Osmosis Jones,2001,PG,95,55,12.3,TRUE,FALSE
Captain Corelli's Mandolin,2001,R,131,29,25.3,FALSE,TRUE
Rat Race,2001,PG-13,112,44,55.8,FALSE,TRUE
American Outlaws,2001,PG-13,94,14,11.9,FALSE,FALSE
The Believer,2001,R,102,82,0.2,TRUE,FALSE
The Curse of the Jade Scorpion,2001,PG-13,103,45,6.8,TRUE,TRUE
Bubble Boy,2001,PG-13,84,29,4.2,FALSE,FALSE
Ghosts of Mars,2001,R,98,21,7.3,FALSE,FALSE
Summer Catch,2001,PG-13,108,8,19,FALSE,FALSE
Jay and Silent Bob Strike Back,2001,R,104,53,29.9,FALSE,FALSE
Hedwig and the Angry Inch,2001,R,95,92,1.5,TRUE,FALSE
Jeepers Creepers,2001,R,90,45,37.5,TRUE,TRUE
Tortilla Soup,2001,PG-13,102,74,2.9,TRUE,FALSE
Made,2001,R,95,71,3.7,FALSE,FALSE
The Deep End,2001,R,101,82,8.3,TRUE,FALSE
O,2001,R,95,64,15.5,TRUE,FALSE
Soul Survivors,2001,PG-13,84,4,2,FALSE,FALSE
The Musketeer,2001,PG-13,104,11,26.6,FALSE,TRUE
Two Can Play That Game,2001,R,90,43,22,FALSE,FALSE
The Glass House,2001,PG-13,106,21,17.4,FALSE,FALSE
Megiddo: The Omega Code 2,2001,PG-13,104,10,5.6,FALSE,FALSE
Glitter,2001,PG-13,104,7,3.9,TRUE,FALSE
Ghost World,2001,R,111,92,4.7,TRUE,TRUE
Hearts in Atlantis,2001,PG-13,101,50,23.6,TRUE,TRUE
Extremedays,2001,PG,93,43,0.5,FALSE,FALSE
Don't Say a Word,2001,R,113,24,54.2,FALSE,TRUE
Zoolander,2001,PG-13,89,64,44.7,TRUE,TRUE
Big Bad Love,2001,R,111,41,0.1,FALSE,FALSE
Max Keeble's Big Move,2001,PG,86,29,16.5,TRUE,FALSE
Joy Ride,2001,R,97,73,21.3,FALSE,FALSE
Serendipity,2001,PG-13,90,59,50,FALSE,FALSE
Training Day,2001,R,122,72,76.1,TRUE,TRUE
Bandits,2001,PG-13,123,65,41.2,TRUE,FALSE
Corky Romano,2001,PG-13,86,6,23,FALSE,FALSE
The Last Castle,2001,R,131,52,17.9,TRUE,FALSE
Mulholland Drive,2001,R,147,81,7.1,TRUE,TRUE
Riding in Cars with Boys,2001,PG-13,132,49,29.6,TRUE,FALSE
From Hell,2001,R,122,57,30.7,FALSE,FALSE
Bones,2001,R,96,21,6.8,FALSE,FALSE
Thir13en Ghosts,2001,R,91,14,41.6,FALSE,TRUE
K-PAX,2001,PG-13,120,41,50,FALSE,TRUE
Domestic Disturbance,2001,PG-13,89,24,44.4,TRUE,FALSE
"Monsters, Inc.",2001,G,92,96,34,TRUE,FALSE
The One,2001,PG-13,87,14,43.9,FALSE,FALSE
Storytelling,2001,R,87,53,0.9,FALSE,FALSE
Heist,2001,R,109,65,23.3,FALSE,TRUE
Life as a House,2001,R,125,47,15.4,TRUE,FALSE
Shallow Hal,2001,PG-13,114,51,70.7,FALSE,TRUE
The Wash,2001,R,93,8,9.8,FALSE,FALSE
Harry Potter and the Sorcerer's Stone,2001,PG,152,80,317.6,TRUE,TRUE
The Man Who Wasn't There,2001,R,116,81,7.4,TRUE,TRUE
Waking Life,2001,R,99,80,2.1,TRUE,FALSE
Spy Game,2001,R,126,66,62.3,FALSE,TRUE
Black Knight,2001,PG-13,95,14,33.3,FALSE,FALSE
Out Cold,2001,PG-13,89,8,13.9,FALSE,FALSE
Sidewalks of New York,2001,R,108,57,2.1,FALSE,FALSE
Behind Enemy Lines,2001,PG-13,106,37,58.8,TRUE,FALSE
Ocean's Eleven,2001,PG-13,116,82,183.3,TRUE,FALSE
Vanilla Sky,2001,R,136,41,100.5,TRUE,TRUE
Novocaine,2001,R,95,38,1.5,FALSE,FALSE
Not Another Teen Movie,2001,R,89,28,37.9,FALSE,FALSE
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,91,313.8,TRUE,TRUE
Jimmy Neutron: Boy Genius,2001,G,82,75,80.9,FALSE,FALSE
The Majestic,2001,PG,152,42,27.7,TRUE,TRUE
How High,2001,R,93,27,31.2,FALSE,FALSE
The Business of Strangers,2001,R,84,80,0.5,TRUE,FALSE
Who Is Cletis Tout?,2001,R,92,23,0.0649,FALSE,TRUE
Ali,2001,R,157,67,58.2,TRUE,FALSE
Kate & Leopold,2001,PG-13,118,50,47.1,TRUE,FALSE
A Beautiful Mind,2001,PG-13,135,75,170.7,TRUE,FALSE
Impostor,2001,R,95,22,5.3,FALSE,FALSE
The Royal Tenenbaums,2001,R,110,80,52.3,TRUE,FALSE
American Adobo,2001,R,104,30,0.2,TRUE,TRUE
The Shipping News,2001,R,111,55,11.4,TRUE,FALSE
Gosford Park,2001,R,137,85,41.3,TRUE,TRUE
Black Hawk Down,2001,R,144,76,108.6,TRUE,TRUE
I Am Sam,2001,PG-13,132,34,40.3,TRUE,FALSE
Birthday Girl,2001,R,93,58,4.9,TRUE,TRUE
In the Bedroom,2001,R,130,93,35.7,TRUE,FALSE
Super Troopers,2001,R,100,35,18.4,TRUE,FALSE
Monster's Ball,2001,R,111,85,31.3,TRUE,FALSE
Iris,2001,R,91,79,5.4,TRUE,TRUE
The Mystic Masseur,2001,PG,117,52,0.3,TRUE,TRUE
Kissing Jessica Stein,2001,R,97,84,7,TRUE,FALSE
The Other Side of Heaven,2001,PG,113,29,4.4,TRUE,FALSE
Piñero,2001,R,103,43,0.2,TRUE,FALSE
Frailty,2001,R,100,73,13.1,TRUE,TRUE
Human Nature,2001,R,96,49,0.7,TRUE,TRUE
Monsoon Wedding,2001,R,114,95,13.7,TRUE,TRUE
Jason X,2001,R,91,19,12.6,FALSE,FALSE
The Cat's Meow,2001,PG-13,114,75,3.2,TRUE,TRUE
Dogtown and Z-Boys,2001,PG-13,91,92,1.2,TRUE,FALSE
CQ,2001,R,88,67,0.3,FALSE,TRUE
Enigma,2001,R,119,72,3.8,TRUE,TRUE
Thirteen Conversations About One Thing,2001,R,104,83,3,TRUE,FALSE
Festival in Cannes,2001,PG-13,100,65,0.041,FALSE,FALSE
Lovely & Amazing,2001,R,91,86,4.2,TRUE,FALSE
Little Secrets,2001,PG,96,60,0.4,TRUE,FALSE
Knockaround Guys,2001,R,92,20,11.5,FALSE,FALSE
Pokémon 4: The Movie,2001,G,75,14,1.6,FALSE,TRUE
The Man from Elysian Fields,2001,R,106,51,1.3,FALSE,FALSE
Cowboy Bebop: The Movie,2001,R,115,64,0.9,FALSE,TRUE
The Safety of Objects,2001,R,121,49,0.0862,TRUE,TRUE
On_Line,2002,R,97,38,0.0257,TRUE,FALSE
Orange County,2002,PG-13,82,46,41,FALSE,FALSE
Snow Dogs,2002,PG,99,24,81.1,TRUE,TRUE
State Property,2002,R,88,0,2.1,FALSE,FALSE
Kung Pow: Enter the Fist,2002,PG-13,81,11,15.9,FALSE,TRUE
The Count of Monte Cristo,2002,PG-13,131,73,54.1,FALSE,TRUE
The Mothman Prophecies,2002,PG-13,119,52,35.2,TRUE,FALSE
A Walk to Remember,2002,PG,101,27,41.1,TRUE,FALSE
The Singles Ward,2002,PG,102,50,1.1,FALSE,FALSE
Slackers,2002,R,86,10,4.8,FALSE,TRUE
Big Fat Liar,2002,PG,88,42,47.8,TRUE,TRUE
Collateral Damage,2002,R,108,19,40,FALSE,FALSE
Rollerball,2002,R,98,3,18.9,FALSE,TRUE
Hart's War,2002,R,125,60,19,TRUE,FALSE
Crossroads,2002,PG-13,93,14,37.1,TRUE,FALSE
John Q,2002,PG-13,116,23,71,TRUE,FALSE
Return to Never Land,2002,G,72,45,48.3,FALSE,TRUE
Heaven,2002,R,97,74,0.6,TRUE,TRUE
Dragonfly,2002,PG-13,104,7,30.1,FALSE,TRUE
Queen of the Damned,2002,R,101,17,30.3,TRUE,TRUE
We Were Soldiers,2002,R,138,63,78.1,TRUE,TRUE
All About the Benjamins,2002,R,95,30,25.5,FALSE,TRUE
The Time Machine,2002,PG-13,96,29,56.7,TRUE,FALSE
Showtime,2002,PG-13,95,25,37.9,TRUE,TRUE
Ice Age,2002,PG,81,77,176.2,TRUE,FALSE
Resident Evil,2002,R,100,33,39.5,FALSE,TRUE
Blade II,2002,R,117,59,81.6,TRUE,TRUE
Sorority Boys,2002,R,93,13,10.2,TRUE,FALSE
Clockstoppers,2002,PG,94,29,36.9,FALSE,FALSE
The Rookie,2002,G,127,83,75.5,TRUE,FALSE
Death to Smoochy,2002,R,109,42,8.3,FALSE,TRUE
Panic Room,2002,R,112,76,95.3,TRUE,FALSE
Van Wilder: Party Liaison,2002,R,92,18,21,FALSE,TRUE
Big Trouble,2002,PG-13,85,48,7.3,FALSE,FALSE
The Sweetest Thing,2002,R,88,26,24.4,FALSE,FALSE
Changing Lanes,2002,R,98,77,66.7,FALSE,FALSE
The Scorpion King,2002,PG-13,92,41,90.3,TRUE,TRUE
Life or Something Like It,2002,PG-13,103,28,14.4,FALSE,FALSE
Hollywood Ending,2002,PG-13,112,47,4.8,FALSE,FALSE
Deuces Wild,2002,R,96,3,6,FALSE,TRUE
The New Guy,2002,PG-13,88,7,29,FALSE,FALSE
Unfaithful,2002,R,124,49,52.7,TRUE,TRUE
Star Wars: Episode II - Attack of the Clones,2002,PG,142,67,310.3,TRUE,FALSE
The Salton Sea,2002,R,103,62,0.6,TRUE,FALSE
About a Boy,2002,PG-13,101,93,40.6,TRUE,TRUE
Enough,2002,PG-13,115,22,39.2,FALSE,FALSE
Insomnia,2002,R,118,92,67.2,TRUE,TRUE
Spirit: Stallion of the Cimarron,2002,G,83,69,73.2,TRUE,FALSE
Civil Brand,2002,R,95,16,0.1,TRUE,FALSE
Undercover Brother,2002,PG-13,86,77,38.2,TRUE,FALSE
The Sum of All Fears,2002,PG-13,124,59,118.5,TRUE,TRUE
Bad Company,2002,PG-13,116,10,30.1,FALSE,TRUE
Divine Secrets of the Ya-Ya Sisterhood,2002,PG-13,116,44,69.5,FALSE,FALSE
Windtalkers,2002,R,134,32,40.5,TRUE,FALSE
The Bourne Identity,2002,PG-13,119,83,121.5,TRUE,TRUE
Scooby-Doo,2002,PG,86,30,153.2,TRUE,TRUE
Passionada,2002,PG-13,108,58,0.5,FALSE,FALSE
Minority Report,2002,PG-13,145,90,131.9,TRUE,FALSE
Juwanna Mann,2002,PG-13,91,10,13.4,FALSE,FALSE
Lilo & Stitch,2002,PG,85,86,145.8,TRUE,FALSE
Hey Arnold! The Movie,2002,PG,76,29,13.6,FALSE,FALSE
Mr. Deeds,2002,PG-13,96,22,126.2,TRUE,FALSE
Men in Black II,2002,PG-13,88,39,190.4,TRUE,FALSE
The Powerpuff Girls Movie,2002,PG,73,63,11.3,FALSE,FALSE
Like Mike,2002,PG,99,57,51.4,TRUE,FALSE
The Crocodile Hunter: Collision Course,2002,PG,90,53,28.3,TRUE,TRUE
Road to Perdition,2002,R,117,81,104.1,TRUE,FALSE
Reign of Fire,2002,PG-13,101,40,42.9,TRUE,TRUE
Sunshine State,2002,PG-13,141,80,2.8,TRUE,FALSE
Halloween: Resurrection,2002,R,94,12,30.3,TRUE,FALSE
Eight Legged Freaks,2002,PG-13,99,48,17.2,FALSE,TRUE
K-19: The Widowmaker,2002,PG-13,138,60,35.1,FALSE,TRUE
Stuart Little 2,2002,PG,77,81,64.7,TRUE,FALSE
The Country Bears,2002,G,88,30,16.9,FALSE,FALSE
Austin Powers in Goldmember,2002,PG-13,94,54,213.1,TRUE,FALSE
The Master of Disguise,2002,PG,80,1,40.3,FALSE,FALSE
My Big Fat Greek Wedding,2002,PG,95,76,241.3,TRUE,TRUE
Signs,2002,PG-13,106,74,227.9,TRUE,FALSE
Martin Lawrence Live: Runteldat,2002,R,113,39,19.1,FALSE,FALSE
Spy Kids 2: Island of Lost Dreams,2002,PG,100,74,85.6,TRUE,FALSE
Blood Work,2002,R,110,53,26.1,TRUE,FALSE
xXx,2002,PG-13,124,48,141.1,TRUE,FALSE
The Adventures of Pluto Nash,2002,PG-13,95,5,4.4,TRUE,TRUE
Blue Crush,2002,PG-13,104,36,1,TRUE,TRUE
S1m0ne,2002,PG-13,117,51,9.5,FALSE,FALSE
Serving Sara,2002,PG-13,99,4,16.9,FALSE,TRUE
Feardotcom,2002,R,101,3,13.1,TRUE,TRUE
Possession,2002,PG-13,102,65,10.1,FALSE,TRUE
City by the Sea,2002,R,108,48,22.4,FALSE,FALSE
Swimfan,2002,PG-13,85,14,28.3,FALSE,FALSE
Stealing Harvard,2002,PG-13,85,9,13.9,FALSE,FALSE
Barbershop,2002,PG-13,102,82,75.1,TRUE,FALSE
Manna from Heaven,2002,PG,119,22,0.1,TRUE,FALSE
Ballistic: Ecks vs. Sever,2002,R,91,0,14.2,FALSE,TRUE
Charly,2002,PG,103,20,0.7,FALSE,FALSE
Trapped,2002,R,106,18,6.9,FALSE,TRUE
The Banger Sisters,2002,R,98,47,30.2,TRUE,FALSE
The Four Feathers,2002,PG-13,132,41,18.2,FALSE,TRUE
Pandora's Box,2002,R,103,0,0.8,TRUE,FALSE
Sweet Home Alabama,2002,PG-13,108,38,127.2,TRUE,FALSE
The Tuxedo,2002,PG-13,98,22,50.2,TRUE,FALSE
Moonlight Mile,2002,PG-13,117,63,6.7,TRUE,FALSE
Igby Goes Down,2002,R,98,76,4.6,TRUE,FALSE
Jonah: A VeggieTales Movie,2002,G,82,65,25.4,FALSE,FALSE
Red Dragon,2002,R,124,69,92.9,TRUE,TRUE
Anything But Love,2002,PG-13,102,37,0.0587,TRUE,FALSE
The Transporter,2002,PG-13,92,53,25.2,FALSE,TRUE
Brown Sugar,2002,PG-13,109,66,27.2,TRUE,FALSE
The Rules of Attraction,2002,R,110,43,6.5,TRUE,TRUE
Secretary,2002,R,104,75,3.8,TRUE,FALSE
Tuck Everlasting,2002,PG,90,61,19,TRUE,FALSE
White Oleander,2002,PG-13,109,70,16.3,TRUE,FALSE
Welcome to Collinwood,2002,R,86,54,0.0752,FALSE,TRUE
Hansel & Gretel,2002,PG,89,0,0.1,FALSE,FALSE
The Ring,2002,PG-13,115,72,128.6,TRUE,TRUE
Abandon,2002,PG-13,99,16,10.7,FALSE,TRUE
Jackass: The Movie,2002,R,87,48,64.2,TRUE,FALSE
Ghost Ship,2002,R,91,14,30.1,TRUE,TRUE
The Truth About Charlie,2002,PG-13,104,33,5.3,FALSE,TRUE
Paid in Full,2002,R,97,51,3,FALSE,FALSE
The Santa Clause 2,2002,G,104,55,139.2,TRUE,FALSE
Comedian,2002,R,82,76,2.7,FALSE,FALSE
Auto Focus,2002,R,105,72,1.8,TRUE,FALSE
Punch-Drunk Love,2002,R,95,79,17.8,TRUE,FALSE
8 Mile,2002,R,110,76,116.6,TRUE,TRUE
Real Women Have Curves,2002,PG-13,90,83,5.7,TRUE,FALSE
Bowling for Columbine,2002,R,120,96,21.2,TRUE,TRUE
Harry Potter and the Chamber of Secrets,2002,PG,161,82,261.8,TRUE,TRUE
Half Past Dead,2002,PG-13,98,3,15.4,FALSE,TRUE
Frida,2002,R,123,76,25.7,TRUE,TRUE
Friday After Next,2002,R,85,25,33,FALSE,FALSE
The Emperor's Club,2002,PG-13,109,50,14,FALSE,FALSE
Roger Dodger,2002,R,106,88,1.2,TRUE,FALSE
Die Another Day,2002,PG-13,133,57,160.2,TRUE,TRUE
They,2002,PG-13,89,38,12.6,TRUE,TRUE
Solaris,2002,PG-13,99,66,14.8,TRUE,FALSE
Eight Crazy Nights,2002,PG-13,76,12,23.3,TRUE,FALSE
Treasure Planet,2002,PG,95,68,38.1,TRUE,FALSE
Standing in the Shadows of Motown,2002,PG,108,92,1.2,TRUE,FALSE
Analyze That,2002,R,96,27,32.1,FALSE,TRUE
Empire,2002,R,90,21,17.5,FALSE,FALSE
Drumline,2002,PG-13,118,82,56.2,FALSE,FALSE
The Hot Chick,2002,PG-13,104,21,34.9,FALSE,FALSE
Maid in Manhattan,2002,PG-13,105,39,93.8,FALSE,FALSE
Star Trek: Nemesis,2002,PG-13,116,37,43.1,TRUE,FALSE
The Lord of the Rings: The Two Towers,2002,PG-13,179,96,340.5,TRUE,TRUE
The Wild Thornberrys Movie,2002,PG,85,80,39.8,FALSE,FALSE
Two Weeks Notice,2002,PG-13,101,42,93.2,TRUE,TRUE
Gangs of New York,2002,R,167,75,77.6,TRUE,TRUE
Evelyn,2002,PG,94,64,1.3,TRUE,TRUE
Pinocchio,2002,G,108,0,3.6,TRUE,TRUE
Catch Me If You Can,2002,PG-13,141,96,164.4,TRUE,TRUE
About Schmidt,2002,R,125,85,65,TRUE,FALSE
25th Hour,2002,R,135,78,12.8,TRUE,FALSE
Antwone Fisher,2002,PG-13,120,79,20.8,TRUE,FALSE
Far from Heaven,2002,PG-13,107,87,15.8,TRUE,TRUE
Narc,2002,R,105,83,10.2,TRUE,TRUE
Cherish,2002,R,99,51,0.2,FALSE,FALSE
